bcbdc2,N8000
bcc0c3,N7000
e2e3e3,N9000
e1dcc5,008010
cacbba,04801
c4c2b3,088010
dcd8bb,N10000
9a9ea2,647010
9aa2a2,767010
a8a29a,086010
d4cebf,128020
bfbba6,088020
ede5d1,169010
efeed1,129010
68696b,N6000
9a9da2,606010
8e8780,125010
bbb9a0,087020
b1af9a,006010
ededd1,00802
ddddc3,048020
7b7a7e,N5000
93969d,646010
84807c,084010
aba68f,086020
a79e87,12602
bdb09d,166020
cdc8a8,128030
545255,N3000
767d85,604010
797471,124010
a19e8b,005010
8a7d6e,165020
69554b,123020
d1c09a,167030
20211e,N2000
595d68,602010
6b5353,163010
86806d,084020
7c7466,164020
9c9582,085020
c2ad80,166030
000000,NEGRO
484850,641010
484450,161010
7c7d67,00201
5c5659,162010
5d5857,082020
aa9569,165030
